id,title,latitude_and_longitude,ratings,review,type,types,type_id,address,operating_hours,phone,website,service_options,popular_for,highlights,offerings,dining_options,amenities,atmosphere,crowd,payments,parking,pets,reserve_a_table,order_online,createdAt,updatedAt
"34","Black Fox Coffee","40.7546645,-73.9772368","4.5","335","Coffee shop","Coffee shop; Cafe","coffee_shop","45 E 45th St, New York, NY 10017","Closed ⋅ Opens 9 AM Sat","(917) 704-8198","http://www.blackfoxcoffee.com/","Outdoor seating; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Quick bite; Vegetarian options","Breakfast; Lunch; Dessert; Seating","","Casual; Cozy; Trendy","Tourists","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11fqz85wc1&g2lbs=AO8LyOKuUw_yU-e72q4lvmtPBUqVORzGjyhRfi24ilwKq92CtcLkZWnOaoDmnLp3aq38T201zIVqNGdmo2PQAK8zWK74YAYcqgjot1gYaFxOFrfMB_EPHsc%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"35","787 Coffee","40.7422456,-73.9831245","4.9","2597","Coffee shop","Coffee shop","coffee_shop","100 Lexington Ave, New York, NY 10016","Closed ⋅ Opens 7 AM","(646) 398-7994","http://www.787coffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","","Fast service; Great coffee; Great tea selection","Alcohol; Cocktails; Coffee; Organic dishes; Quick bite; Small plates; Vegetarian options","Breakfast; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly","Credit cards; Debit cards; NFC mobile payments","Free street parking; Paid street parking","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11jpjtjhk3&g2lbs=AO8LyOJ_bXjhcKCB6im-zUFva6bPJBY-hzocNF59H_qXgPDXYX2YsgxcOotR9AAIhlh3vwA5CMBIHlTp6eDZS_qnf1W_w-3sj20iWF7t-7MT273qWr9Y7JY%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"36","Ground Central Coffee Company","40.7638666,-73.9847094","4.5","1052","Coffee shop","Coffee shop; Book store","coffee_shop","888 8th Ave, New York, NY 10019","Closed ⋅ Opens 7 AM","(917) 409-0147","http://www.groundcentral.com/","Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Beer; Coffee; Quick bite; Wine","Breakfast; Dessert","Restroom; Wi-Fi","Casual; Cozy; Trendy","Tourists","Credit cards; Debit cards; NFC mobile payments","Usually difficult to find a space","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11gblg1262&g2lbs=AO8LyOLpmVu66oD2RZIS6YT_AzX1UX-tuPabvaOldbs45PdcLGdidY_LIY2PfXjOCJTpH0qofSVQzt59yG7sA9Q_RL7GC7NalA%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"37","Tiny Dancer Coffee","40.7614519,-73.98452309999999","4.8","90","Coffee shop","Coffee shop","coffee_shop","IN THE SUBWAY AT, 210 W 50th St Concourse Store #2, New York, NY 10019","Closed ⋅ Opens 7 AM","","http://tinydancercoffee.com/","Onsite services; Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Comfort food; Prepared foods; Private dining room; Quick bite; Small plates; Vegan options; Vegetarian options","Breakfast; Catering; Dessert; Seating","","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Locals; Transgender safespace","Credit cards; NFC mobile payments","","Dogs allowed; Dogs allowed inside; Dogs allowed outside","Accepts reservations","https://www.google.com/viewer/chooseprovider?mid=/g/11ksnxczx9&g2lbs=AO8LyOIH9ww9pQQO37BwSuVfuC4dvvdd7qXQVRu050PFMz28FXlXIDhMQ2wJ1nwidvBSgpKT4P-UOS7lpc9kPggoad0mAnpRHQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"38","Frisson Espresso","40.760836999999995,-73.98899949999999","4.7","1211","Coffee shop","Coffee shop; Cafe; Coffee store; Espresso bar; Pastry shop","coffee_shop","10036 326 W 47th St, New York, NY 10036","Closed ⋅ Opens 7:30 AM","(646) 850-3928","http://frissonespresso.co/","No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Fireplace; Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Brunch; Lunch; Catering; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Family-friendly","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11b6xbml1x&g2lbs=AO8LyOIVWlb9NbrvO2duF-o97Xb76GWPpAUzFdRaH8iUzqdwtKz9vLubLmoLDY1SDJwP2Kh7_whiX3RRf0ZRZNbZKHYK5nFgOg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"39","Pull-Tab Coffee","40.752722999999996,-73.98599999999999","4.7","116","Coffee shop","Coffee shop; Cafe; Coffee store; Pastry shop","coffee_shop","10018, New York, 6th Ave","Closed ⋅ Opens 8:30 AM","","https://pulltabcoffeeusa.com/","Delivery; Takeout","","Fast service","Alcohol; Cocktails; Coffee","","","Casual","","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11m6_q8p6r&g2lbs=AO8LyOLNtdA3AQVkjERIUHFT6xC4LVxb18i4nQfrJgOnS45FZCReCEUFqYxb1C5-RcDundhiqLmkZdsdI3VbDUeJPJbAcLoU0g%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"40","GRIND THE NYC COFFEE SHOP & BAGEL HOUSE","40.7590839,-73.9918101","4.5","871","Coffee shop","Coffee shop; Bagel shop","coffee_shop","602 9th Ave, New York, NY 10036","Closed ⋅ Opens 7 AM","(646) 755-8073","http://grindnyc.com/","Outdoor seating; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Lunch; Solo dining; Good for working on laptop","Fast service; Great coffee; Great tea selection","Alcohol; Beer; Coffee; Organic dishes; Quick bite; Wine","Breakfast; Brunch; Lunch; Dessert; Seating","Restroom","Casual; Cozy; Trendy","Locals; Tourists","Credit cards; Debit cards; NFC mobile payments","Usually difficult to find a space","","","https://www.google.com/viewer/chooseprovider?mid=/g/11kgnrjx7t&g2lbs=AO8LyOLtjuEhNiVRabefFbBG77zFgZWvHREzslwAKcr7l-a9z04mhwNZ5mjpbolVWFL5HDZ2gUjjzQ-lAziQX-HfgmJG972SkA%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"41","King's Street Coffee","40.7478184,-73.9906072","4.6","446","Coffee shop","Coffee shop","coffee_shop","121 W 30th St, New York, NY 10001","Closed ⋅ Opens 8 AM Sat","(212) 335-0333","http://kingsstreetcoffee.com/","Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Comfort food; Quick bite; Small plates; Vegetarian options","Breakfast; Brunch; Lunch; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Tourists","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"42","Le Cafe Coffee","40.765291,-73.9767121","4.7","103","Coffee shop","Coffee shop","coffee_shop","1427 6th Ave, New York, NY 10019","Closed ⋅ Opens 7 AM","","https://lecafecoffee.com/","Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Dessert","","Casual; Cozy; Trendy","","Credit cards; NFC mobile payments","Paid street parking","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"43","Remi Flower & Coffee","40.753690999999996,-73.9690791","4.6","911","Coffee shop","Coffee shop; Florist","coffee_shop","906 2nd Ave, New York, NY 10017","Closed ⋅ Opens 8 AM","(646) 559-1233","https://www.reminyc.com/","Outdoor seating; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert; Seating","Restroom","Casual; Cozy; Trendy","Tourists","Credit cards; Debit cards; NFC mobile payments","Paid street parking; Usually difficult to find a space","","","https://www.google.com/viewer/chooseprovider?mid=/g/11gd1vg755&g2lbs=AO8LyOLC0p1IMJKIPMSS1Jr-ifGOaCOOoXDVDACzMYjMCbg8-3zgG4Dz5_0XdFn302N4rEuPK7dlK8Rc3cEiFuq_Wi8VZ-Q-uQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"44","Oslo Coffee Roasters","40.7605599,-73.99905249999999","4.5","206","Coffee shop","Coffee shop","coffee_shop","620 W 42nd St, New York, NY 10036","Closed ⋅ Opens 7 AM","","","Outdoor seating; No-contact delivery; Delivery; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; Locals; Tourists","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11h3mqjzyh&g2lbs=AO8LyOKP6fu6Cab12lpOkRswW0AMo5BLJcT4ylomZZEKBDH51RHwDnYNNvDmvDaGchLO8E1Qk569uSIEjpOtdfi9cAKqQi3FhQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"45","Times Square Cafe","40.762524899999995,-73.98361469999999","4.5","239","Coffee shop","Coffee shop","coffee_shop","1657 Broadway, New York, NY 10019","Open 24 hours","(212) 389-6157","","Delivery; Onsite services; Takeout; Dine-in","Breakfast; Lunch; Solo dining","Great coffee","Coffee; Comfort food; Quick bite","Breakfast; Lunch; Dinner; Dessert; Seating","","Casual; Cozy","","Credit cards; Debit cards; NFC mobile payments","Paid street parking","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11v68mmqzf&g2lbs=AO8LyOLi7jPKZm_OvSPDvrETXuEDDttDSgsLtXXkAnMFF11QmJ_WkuSFcJhBoGQQq4ZOAlqF87ofvc7-bejacv8zujgPVvjBXQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"46","PROOF Coffee Roasters","40.7399117,-73.9774474","4.5","234","Coffee shop","Coffee shop; Cafe; Dessert shop; Espresso bar","coffee_shop","ENTRANCE IN PARK AREA, 335 E 27th St, New York, NY 10016","Closed ⋅ Opens 7 AM","","https://www.proof.coffee/","Outdoor seating; Curbside pickup; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Organic dishes; Quick bite; Small plates; Vegetarian options","Breakfast; Catering; Dessert; Seating","Gender-neutral restroom; Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed; Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11f2wckb5c&g2lbs=AO8LyOK2ZKGECIsyC9zEhVK3Ul_4BIFRQR1Q77BqgEeyUWqHXUX3Sleb3Iig0PVEsTN17wMn2d1FwBtkBXlFO9mks2A3pMcx7g%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"47","787 Coffee","40.7298046,-73.987158","4.8","2233","Coffee shop","Coffee shop","coffee_shop","159 2nd Ave, corner of, E 10th St, New York, NY 10003","Closed ⋅ Opens 7 AM","(646) 869-0130","http://787coffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"48","Blue Bottle Coffee","40.75306,-73.984123","4.4","1139","Coffee shop","Coffee shop","coffee_shop","54 W 40th St, New York, NY 10018","Closed ⋅ Opens 6:30 AM","(510) 661-3510","https://bluebottlecoffee.com/us/eng/cafes/search-results?geometry=39.8283%2C-96.5795&zoom=4","Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Prepared foods; Quick bite","Breakfast; Dessert","","Casual; Trendy","Tourists","Credit cards; Debit cards; NFC mobile payments","Usually difficult to find a space","","Usually a wait","https://www.google.com/viewer/chooseprovider?mid=/g/11b6gfcxj2&g2lbs=AO8LyOJpJtJglkzUseOmVFtUmr38n4LBO12uHz8NhmhF71Y21hTv33W3qPvcHDITp9eZ7xsA0PGbHqwWhfXqDxqH6WQfiZ_C8Q%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"49","Slate Cafe Midtown","40.754906299999995,-73.9688552","4.5","509","Coffee shop","Coffee shop; Breakfast restaurant; Restaurant","coffee_shop","941 2nd Ave, New York, NY 10022","Closed ⋅ Opens 7:30 AM","(917) 970-1188","http://www.slatecafe.com/","Outdoor seating; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Lunch; Solo dining; Good for working on laptop","Fast service; Great coffee; Great tea selection","Alcohol; Beer; Coffee; Comfort food; Happy hour drinks; Healthy options; Quick bite; Small plates; Vegan options; Vegetarian options; Wine","Breakfast; Brunch; Lunch; Dinner; Catering; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11hynhk1hy&g2lbs=AO8LyOLhuucN1ssBbjTg-PtIJfJgBOeqAjCD_Kp-v1v23aDB8qbFVIGqTVmAI0uOCPlrbZqwDil_O21ZkPMm1Ve4qr6vj6hlcIvmvWlxMgSlEe93w07vfws%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"50","787 Coffee","40.726323699999995,-73.9838523","4.9","2328","Coffee shop","Coffee shop; Cafe; Coffee roasters; Coffee stand; Coffee store; Internet cafe; Tea house","coffee_shop","131 E 7th St, New York, NY 10009","Closed ⋅ Opens 7 AM","(646) 649-2774","http://787coffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Cocktails; Coffee; Comfort food; Organic dishes; Quick bite; Small plates; Vegetarian options","Breakfast; Catering; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","Free street parking","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11g2y2bpj_&g2lbs=AO8LyOLDjkOIzREV-nx-aebphIJAQ_ytpr1YA4C7VdP4fQ-W_EKJEMnOkNPixl_ai1FRhd6_1mJ5_abGRhneV9PeifeOFux9ar6KgPgSpSKqtyLQG3oFyXk%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"51","Now or Never Coffee","40.722905499999996,-74.0045789","4.5","373","Coffee shop","Coffee shop; Wine bar","coffee_shop","30 Grand St, New York, NY 10013","Closed ⋅ Opens 8 AM","(347) 556-8312","http://nowornevercoffee.com/","Outdoor seating; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Fast service; Great coffee; Great tea selection","Alcohol; Beer; Coffee; Happy hour drinks; Happy hour food; Quick bite; Small plates; Wine","Breakfast; Lunch; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11h110v_kg&g2lbs=AO8LyOKJFEJpQg5DMbLKpTLm6bb6CkqydyRe2oRvykzdbu9BjImzLENbfOS81w1XUDAf9dFy2SB2MSnAWif0RYNqwpM5P4TakWkArGcMbUnJocyZyJQLbKs%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"52","Vanilla Gorilla Cafe","40.7538276,-73.9925288","4.7","364","Coffee shop","Coffee shop; Sandwich shop","coffee_shop","525 8th Ave, New York, NY 10018","Closed ⋅ Opens 7 AM","(646) 631-3660","https://www.vanillagorillacafe.com/","No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Lunch; Solo dining","Great coffee; Great tea selection","Coffee; Comfort food; Organic dishes; Prepared foods; Quick bite; Vegan options; Vegetarian options","Breakfast; Brunch; Lunch; Dinner; Catering; Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11kb_nv2h_&g2lbs=AO8LyOKHaiQFZyUwOnuCLa-QgC5lw-5cohjVWuQ2oCWdV4Skp6avAEe_vyPWV1PyV1MTYrk8arCUeqS70q6gMXYgQi7Y7R-AHn2EOuE4aDg1D-O5PHTnY1U%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"53","COSMIC CAT COFFEE AND ESPRESSO","40.7227341,-73.9846788","4.9","130","Coffee shop","Coffee shop; Cafe; Coffee store; Internet cafe","coffee_shop","170E E 2nd St, New York, NY 10009","Closed ⋅ Opens 7 AM","","","Onsite services; Takeout; Dine-in","Breakfast","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Locals","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed","","https://www.google.com/viewer/chooseprovider?mid=/g/11s8xgypwb&g2lbs=AO8LyOJDAO4_o5hb8nUGmRjPQKaDYupxAfgFTarYbksSbLwFQ9BopJLxEELDTk7uGhvThwFI991MI-bQ874m-Ps86jAOA6C1QjxNzAaJhHZRfa8gv4u2hEA%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"54","Corvo Coffee","40.755102199999996,-73.9908682","4.5","240","Coffee shop","Coffee shop","coffee_shop","270 W 39th St, New York, NY 10018","Closed ⋅ Opens 6 AM","(917) 409-2479","","Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Catering; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Family-friendly; Tourists","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"55","Interlude Coffee & Tea","40.7210615,-74.0086055","4.7","226","Coffee shop","Coffee shop","coffee_shop","145 Hudson St, New York, NY 10013","Closed ⋅ Opens 7 AM Mon","(212) 219-2067","http://interludenyc.com/","Outdoor seating; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Catering; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11gjtt_k21&g2lbs=AO8LyOL7sAEWeKkGmlrcVHUGG41E-jHhoaCXpSeGZQ7ViUI_kA-988S_Xyls1u2uGCYKJ6c1GqfwhlA27oAVaeENGiiEJ_A6tHgTlc-HP76IAyeBTixoVpo%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"56","Romeo and Juliet Colombian Coffee","40.760791499999996,-73.9977372","4.5","1107","Coffee shop","Coffee shop","coffee_shop","555 W 42nd St, New York, NY 10036","Closed ⋅ Opens 8 AM","(646) 707-3789","http://www.romeoandjulietcoffee.com/","Outdoor seating; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Fast service; Great coffee; Great dessert; Great tea selection","Alcohol; Beer; Cocktails; Coffee; Comfort food; Happy hour drinks; Prepared foods; Quick bite; Small plates; Vegetarian options; Wine","Breakfast; Brunch; Lunch; Dessert; Seating","Bar onsite; Gender-neutral restroom; Restroom; Wi-Fi","Casual; Cozy; Trendy","College students; Groups; Tourists","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/1yg6ngs60&g2lbs=AO8LyOK5NoDDwcwB2q2qN6TdLwvoyD3WZ5Kq9JOq_k20rGF3uqYr4VaSsxiQzQeo_wePhPrCiRIXbv2kgNfdoD25FQ0qWxPhZHP1si16OGp925sh5Wl_2c8%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"57","Remi43 Flower & Coffee","40.7506224,-73.9713282","4.5","620","Coffee shop","Coffee shop","coffee_shop","810 2nd Ave, New York, NY 10017","Closed ⋅ Opens 8 AM","(212) 918-8122","http://www.remi43.com/","Outdoor seating; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert; Seating","Restroom","Casual; Cozy; Quiet; Trendy","","Credit cards; Debit cards; NFC mobile payments","Paid street parking","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11fshmcdy5&g2lbs=AO8LyOIPVgDMgOSESqOlsS7n5VOfXwYwnACs8bNVkpPUri6Jmb6P975U3P4_pcIdEfueQyoEvT4TOs_9aXG4wVZpEmutGOiWEtu4ZXFacGRUeoY0CfgYYrg%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"58","Sammy L Coffee","40.7316812,-73.9879701","4.5","236","Coffee shop","Coffee shop","coffee_shop","83 3rd Ave, New York, NY 10003","Closed ⋅ Opens 8 AM","(718) 908-7007","","Outdoor seating; Curbside pickup; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Brunch; Lunch; Dinner; Dessert; Seating","Gender-neutral restroom; Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students","Credit cards; Debit cards; NFC mobile payments","Paid street parking","","","https://www.google.com/viewer/chooseprovider?mid=/g/11tg7kxp2g&g2lbs=AO8LyOKN9QA4ZCp3ZrfLSEbdnfVqmA0IpBxNaoIBEm2qu7QcLpM28Old2TvfsfGPn6uTaGakyOpwdI85OlFP4Wr0OxmjHfmxWworanXfSR3a5y5t_0DrTHQ%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"59","Birch Coffee","40.7681474,-73.98530439999999","4.6","369","Coffee shop","Coffee shop","coffee_shop","884 9th Ave, New York, NY 10019","Closed ⋅ Opens 7:30 AM","(212) 686-1444","https://shop.birchcoffee.com/pages/visit","Onsite services; Takeout; Dine-in","","Great coffee; Great tea selection","Coffee; Quick bite","Dessert","Wi-Fi","Casual; Cozy; Trendy","Tourists","Credit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"60","Ludlow Coffee Supply","40.7216825,-73.9873972","4.3","536","Coffee shop","Coffee shop","coffee_shop","176 Ludlow St, New York, NY 10002","Closed ⋅ Opens 7 AM","(917) 472-7632","http://www.ludlowcoffeesupply.com/","Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Fast service; Great coffee; Great tea selection","Alcohol; Beer; Coffee; Quick bite; Wine","Breakfast; Dessert","Restroom","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"61","Ten Thousand Coffee","40.7532395,-73.9869855","4.2","644","Coffee shop","Coffee shop","coffee_shop","1410 Broadway Unit 105, New York, NY 10018","Closed ⋅ Opens 7 AM","(646) 589-6771","https://10000coffeeusa.com/","Delivery; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert","Restroom","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11pv5_2dxv&g2lbs=AO8LyOKzIhB-sN1XPwetci6osVsZus1Pu338jkL6MlrFCDGtWzKCFCzrM7SQfYs7TSoed2Fc-NwZq0-UklW7jS8MGkVbf2nQuToIf1__ISyfR1sui5Ee4Ek%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
